Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","2","Afghanistan","664","Food supply (kcal/capita/day)","2941","Animal Products","2018","2018","kcal/capita/day","189","Fc","Calculated data"
"FBS","Food Balances (2010-)","2","Afghanistan","664","Food supply (kcal/capita/day)","2941","Animal Products","2019","2019","kcal/capita/day","187","Fc","Calculated data"
"FBS","Food Balances (2010-)","2","Afghanistan","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","10.69","Fc","Calculated data"
"FBS","Food Balances (2010-)","2","Afghanistan","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2019","2019","g/capita/day","10.34","Fc","Calculated data"
"FBS","Food Balances (2010-)","2","Afghanistan","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","12.85","Fc","Calculated data"
"FBS","Food Balances (2010-)","2","Afghanistan","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2019","2019","g/capita/day","12.67","Fc","Calculated data"
"FBS","Food Balances (2010-)","3","Albania","664","Food supply (kcal/capita/day)","2941","Animal Products","2018","2018","kcal/capita/day","1001","Fc","Calculated data"
"FBS","Food Balances (2010-)","3","Albania","664","Food supply (kcal/capita/day)","2941","Animal Products","2019","2019","kcal/capita/day","1021","Fc","Calculated data"
"FBS","Food Balances (2010-)","3","Albania","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","60.86","Fc","Calculated data"
"FBS","Food Balances (2010-)","3","Albania","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2019","2019","g/capita/day","62.47","Fc","Calculated data"
"FBS","Food Balances (2010-)","3","Albania","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","68.67","Fc","Calculated data"
"FBS","Food Balances (2010-)","3","Albania","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2019","2019","g/capita/day","70.01","Fc","Calculated data"
"FBS","Food Balances (2010-)","4","Algeria","664","Food supply (kcal/capita/day)","2941","Animal Products","2018","2018","kcal/capita/day","382","Fc","Calculated data"
"FBS","Food Balances (2010-)","4","Algeria","664","Food supply (kcal/capita/day)","2941","Animal Products","2019","2019","kcal/capita/day","379","Fc","Calculated data"
"FBS","Food Balances (2010-)","4","Algeria","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","24.3","Fc","Calculated data"
"FBS","Food Balances (2010-)","4","Algeria","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2019","2019","g/capita/day","24.09","Fc","Calculated data"
"FBS","Food Balances (2010-)","4","Algeria","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","22.23","Fc","Calculated data"
"FBS","Food Balances (2010-)","4","Algeria","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2019","2019","g/capita/day","22.14","Fc","Calculated data"
"FBS","Food Balances (2010-)","7","Angola","664","Food supply (kcal/capita/day)","2941","Animal Products","2018","2018","kcal/capita/day","219","Fc","Calculated data"
"FBS","Food Balances (2010-)","7","Angola","664","Food supply (kcal/capita/day)","2941","Animal Products","2019","2019","kcal/capita/day","211","Fc","Calculated data"
"FBS","Food Balances (2010-)","7","Angola","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","16.67","Fc","Calculated data"
"FBS","Food Balances (2010-)","7","Angola","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2019","2019","g/capita/day","15.54","Fc","Calculated data"
"FBS","Food Balances (2010-)","7","Angola","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","15.57","Fc","Calculated data"
"FBS","Food Balances (2010-)","7","Angola","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2019","2019","g/capita/day","15.27","Fc","Calculated data"
"FBS","Food Balances (2010-)","8","Antigua and Barbuda","664","Food supply (kcal/capita/day)","2941","Animal Products","2018","2018","kcal/capita/day","736","Fc","Calculated data"
"FBS","Food Balances (2010-)","8","Antigua and Barbuda","664","Food supply (kcal/capita/day)","2941","Animal Products","2019","2019","kcal/capita/day","720","Fc","Calculated data"
"FBS","Food Balances (2010-)","8","Antigua and Barbuda","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","51.57","Fc","Calculated data"
"FBS","Food Balances (2010-)","8","Antigua and Barbuda","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2019","2019","g/capita/day","51.32","Fc","Calculated data"
"FBS","Food Balances (2010-)","8","Antigua and Barbuda","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","51.87","Fc","Calculated data"
"FBS","Food Balances (2010-)","8","Antigua and Barbuda","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2019","2019","g/capita/day","50.69","Fc","Calculated data"
"FBS","Food Balances (2010-)","9","Argentina","664","Food supply (kcal/capita/day)","2941","Animal Products","2018","2018","kcal/capita/day","1045","Fc","Calculated data"
"FBS","Food Balances (2010-)","9","Argentina","664","Food supply (kcal/capita/day)","2941","Animal Products","2019","2019","kcal/capita/day","1017","Fc","Calculated data"
"FBS","Food Balances (2010-)","9","Argentina","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","69.84","Fc","Calculated data"
"FBS","Food Balances (2010-)","9","Argentina","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2019","2019","g/capita/day","67.89","Fc","Calculated data"
"FBS","Food Balances (2010-)","9","Argentina","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","75.93","Fc","Calculated data"
"FBS","Food Balances (2010-)","9","Argentina","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2019","2019","g/capita/day","73.78","Fc","Calculated data"
"FBS","Food Balances (2010-)","1","Armenia","664","Food supply (kcal/capita/day)","2941","Animal Products","2018","2018","kcal/capita/day","832","Fc","Calculated data"
"FBS","Food Balances (2010-)","1","Armenia","664","Food supply (kcal/capita/day)","2941","Animal Products","2019","2019","kcal/capita/day","975","Fc","Calculated data"
"FBS","Food Balances (2010-)","1","Armenia","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","47.75","Fc","Calculated data"
"FBS","Food Balances (2010-)","1","Armenia","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2019","2019","g/capita/day","52.86","Fc","Calculated data"
"FBS","Food Balances (2010-)","1","Armenia","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","60.73","Fc","Calculated data"
"FBS","Food Balances (2010-)","1","Armenia","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2019","2019","g/capita/day","74.06","Fc","Calculated data"
"FBS","Food Balances (2010-)","10","Australia","664","Food supply (kcal/capita/day)","2941","Animal Products","2018","2018","kcal/capita/day","1099","Fc","Calculated data"
"FBS","Food Balances (2010-)","10","Australia","664","Food supply (kcal/capita/day)","2941","Animal Products","2019","2019","kcal/capita/day","1099","Fc","Calculated data"
"FBS","Food Balances (2010-)","10","Australia","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","72.28","Fc","Calculated data"
"FBS","Food Balances (2010-)","10","Australia","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2019","2019","g/capita/day","72.91","Fc","Calculated data"
"FBS","Food Balances (2010-)","10","Australia","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","79.71","Fc","Calculated data"
"FBS","Food Balances (2010-)","10","Australia","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2019","2019","g/capita/day","79.07","Fc","Calculated data"
"FBS","Food Balances (2010-)","11","Austria","664","Food supply (kcal/capita/day)","2941","Animal Products","2018","2018","kcal/capita/day","1193","Fc","Calculated data"
"FBS","Food Balances (2010-)","11","Austria","664","Food supply (kcal/capita/day)","2941","Animal Products","2019","2019","kcal/capita/day","1154","Fc","Calculated data"
"FBS","Food Balances (2010-)","11","Austria","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","65.98","Fc","Calculated data"
"FBS","Food Balances (2010-)","11","Austria","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2019","2019","g/capita/day","64.49","Fc","Calculated data"
"FBS","Food Balances (2010-)","11","Austria","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","96.16","Fc","Calculated data"
"FBS","Food Balances (2010-)","11","Austria","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2019","2019","g/capita/day","92.76","Fc","Calculated data"
"FBS","Food Balances (2010-)","52","Azerbaijan","664","Food supply (kcal/capita/day)","2941","Animal Products","2018","2018","kcal/capita/day","575","Fc","Calculated data"
"FBS","Food Balances (2010-)","52","Azerbaijan","664","Food supply (kcal/capita/day)","2941","Animal Products","2019","2019","kcal/capita/day","579","Fc","Calculated data"
"FBS","Food Balances (2010-)","52","Azerbaijan","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","33.58","Fc","Calculated data"
"FBS","Food Balances (2010-)","52","Azerbaijan","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2019","2019","g/capita/day","34.66","Fc","Calculated data"
"FBS","Food Balances (2010-)","52","Azerbaijan","684","Fat supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","41.92","Fc","Calculated data"
